1994,Privately held,13
1995,Privately held,11
1996,Privately held,6
1999,Privately held,13
1994,Privately held,62
1995,Privately held,38
1988,Privately held,203
1989,Privately held,
1990,Privately held,286
1991,Privately held,86
1992,Privately held,383
1993,Privately held,486
1994,Privately held,450
1995,Privately held,498
1996,Privately held,494
1987,Privately held,173
1988,Privately held,170
1994,Privately held,113
1995,Privately held,110
1994,Privately held,26
1995,Privately held,15
1996,Privately held,9
1994,Privately held,93
1995,Privately held,95
1996,Privately held,63
1997,Privately held,64
1998,Privately held,85
1994,Privately held,50
1995,Privately held,47
1996,Privately held,46
1994,Privately held,207
1994,Privately held,125
1995,Privately held,121
1996,Privately held,170
1997,Privately held,99
1998,Privately held,128
1999,Privately held,140
2000,Privately held,145
2001,Privately held,162
2002,Privately held,259
2003,Privately held,273
2004,Privately held,300
2005,Privately held,202
2006,Privately held,71
2007,Privately held,54
2008,Privately held,42
1994,Privately held,108
1995,Privately held,84
1996,Privately held,92
1997,Privately held,128
1998,Privately held,123
1999,Privately held,187
2000,Privately held,150
2001,Privately held,167
1994,Privately held,22
1995,Privately held,21
1996,Privately held,14
2011,Privately held,
2012,Privately held,40
2013,Privately held,108
2014,Privately held,89
2015,Privately held,115
2016,Privately held,91
1994,Privately held,12
1999,Privately held,9
1994,Privately held,16
1995,Privately held,29
1990,Privately held,325
1991,Privately held,281
1992,Privately held,318
1993,Privately held,313
1994,Privately held,310
1995,Privately held,250
1996,Privately held,269
1997,Privately held,307
1998,Privately held,357
1999,Privately held,503
2000,Privately held,536
2001,Privately held,534
2002,Privately held,531
2003,Privately held,451
2004,Privately held,428
2005,Privately held,387
2006,Privately held,371
2007,Privately held,411
2008,Privately held,371
2009,Privately held,293
2010,Privately held,425
2011,Privately held,414
2012,Privately held,330
2013,Privately held,295
2014,Privately held,320
2015,Privately held,309
2016,Privately held,370
1994,Privately held,20
1995,Privately held,10
1996,Privately held,10
1987,Privately held,379
1988,Privately held,19
1989,Privately held,379
1990,Privately held,38
1991,Privately held,600
1992,Privately held,488
1993,Privately held,598
1994,Privately held,192
1995,Privately held,120
1994,Privately held,20
1995,Privately held,15
1996,Privately held,20
1994,Privately held,18
1995,Privately held,20
1996,Privately held,21
1994,Privately held,16
1995,Privately held,20
1996,Privately held,12
1987,Privately held,462
1988,Privately held,6
1989,Privately held,462
1990,Privately held,1247
1991,Privately held,16
1992,Privately held,16
1993,Privately held,16
1994,Privately held,11
1995,Privately held,9
